round,cid,location,phase,loss,accuracy,num_samples
19,1,Cleveland,evaluate,0.0294,0.8750,16
19,5,Hungarian,evaluate,0.0234,0.8125,16
19,3,Hungarian,evaluate,0.0198,0.9375,16
19,9,VA_Long_Beach,evaluate,0.0264,0.8182,11
19,10,VA_Long_Beach,evaluate,0.0679,0.5455,11
20,4,Hungarian,fit,0.4256,0.8226,62
20,6,Switzerland,fit,0.3241,0.8880,25
20,7,Switzerland,fit,0.3154,0.8800,25
20,1,Cleveland,fit,0.3533,0.8719,64
20,3,Hungarian,fit,0.4537,0.7903,62
20,10,VA_Long_Beach,fit,0.5390,0.8095,42
20,2,Cleveland,fit,0.4093,0.7908,65
20,0,Cleveland,fit,0.2844,0.8875,64
20,11,VA_Long_Beach,fit,0.5505,0.7256,43
20,8,Switzerland,fit,0.3250,0.8519,27
20,5,Hungarian,fit,0.3089,0.9048,63
20,9,VA_Long_Beach,fit,0.5242,0.7476,42
20,11,VA_Long_Beach,evaluate,0.0266,0.9091,11
20,1,Cleveland,evaluate,0.0295,0.8750,16
20,7,Switzerland,evaluate,0.0380,0.8571,7
20,4,Hungarian,evaluate,0.0294,0.8125,16
20,3,Hungarian,evaluate,0.0193,0.9375,16
20,10,VA_Long_Beach,evaluate,0.0684,0.5455,11
20,9,VA_Long_Beach,evaluate,0.0260,0.8182,11
20,5,Hungarian,evaluate,0.0228,0.8125,16
20,2,Cleveland,evaluate,0.0474,0.7647,17
20,8,Switzerland,evaluate,0.0871,0.7143,7
20,6,Switzerland,evaluate,0.0487,1.0000,7
20,0,Cleveland,evaluate,0.0346,0.7500,16
21,4,Hungarian,fit,0.4219,0.8226,62
21,3,Hungarian,fit,0.4484,0.7903,62
21,5,Hungarian,fit,0.3018,0.9048,63
21,2,Cleveland,fit,0.3940,0.7908,65
21,9,VA_Long_Beach,fit,0.5269,0.7524,42
21,1,Cleveland,fit,0.3481,0.8719,64
21,8,Switzerland,fit,0.3214,0.8519,27
21,0,Cleveland,fit,0.2772,0.8875,64
21,7,Switzerland,fit,0.3015,0.8800,25
21,10,VA_Long_Beach,fit,0.5120,0.8095,42
21,6,Switzerland,fit,0.2837,0.9040,25
21,11,VA_Long_Beach,fit,0.5459,0.7209,43
21,2,Cleveland,evaluate,0.0467,0.7647,17
21,5,Hungarian,evaluate,0.0222,0.8125,16
21,10,VA_Long_Beach,evaluate,0.0688,0.5455,11
21,0,Cleveland,evaluate,0.0349,0.7500,16
21,3,Hungarian,evaluate,0.0189,0.9375,16
21,4,Hungarian,evaluate,0.0291,0.8125,16
21,8,Switzerland,evaluate,0.0877,0.7143,7
21,1,Cleveland,evaluate,0.0296,0.8750,16
21,7,Switzerland,evaluate,0.0372,0.8571,7
21,11,VA_Long_Beach,evaluate,0.0265,0.9091,11
21,6,Switzerland,evaluate,0.0461,1.0000,7
21,9,VA_Long_Beach,evaluate,0.0257,0.8182,11
22,5,Hungarian,fit,0.2965,0.8984,63
22,0,Cleveland,fit,0.2732,0.8875,64
22,6,Switzerland,fit,0.2900,0.9120,25
22,7,Switzerland,fit,0.3144,0.8800,25
22,2,Cleveland,fit,0.3946,0.7846,65
22,4,Hungarian,fit,0.4259,0.8226,62
22,11,VA_Long_Beach,fit,0.5541,0.7256,43
22,3,Hungarian,fit,0.4451,0.7903,62
22,1,Cleveland,fit,0.3461,0.8688,64
22,10,VA_Long_Beach,fit,0.5388,0.8095,42
